  TRADE LOG — 3x 15% max5
================================================================================
          Date       Symbol               Signal   Alloc$     PnL%      PnL$     Equity
    2024-03-15     NEARUSDT           fund_spike $    177    +0.0%       +0$ $    1,181
    2024-03-15      FILUSDT             overheat $    177    +0.0%       +0$ $    1,181
    2024-03-15      BNBUSDT    liq_short_squeeze $    177   -24.0%      -43$ $    1,139
    2024-03-16      ETHUSDT             overheat $    171    +0.0%       +0$ $    1,139
    2024-03-16      ADAUSDT             overheat $    171    +0.0%       +0$ $    1,139
    2024-03-17      SOLUSDT         distribution $    171    -9.0%      -15$ $    1,123
    2024-03-17      DOTUSDT           div_top_1d $    171   +19.8%      +34$ $    1,157
    2024-03-18     DOGEUSDT             overheat $    168   +22.1%      +37$ $    1,194
    2024-03-19      BNBUSDT             overheat $    174   -16.3%      -28$ $    1,166
    2024-03-19      BTCUSDT             overheat $    174    -8.6%      -15$ $    1,151
    2024-03-19      ETHUSDT             overheat $    174    +0.0%       +0$ $    1,151
    2024-03-22      ETHUSDT             overheat $    173    +0.0%       +0$ $    1,151
    2024-03-27      BTCUSDT             overheat $    173    -5.9%      -10$ $    1,141
    2024-03-28      ETHUSDT             overheat $    171    +0.0%       +0$ $    1,141
    2024-03-30     NEARUSDT             overheat $    171   -10.3%      -18$ $    1,123
    2024-03-28     DOGEUSDT           fund_spike $    171   +13.2%      +23$ $    1,146
    2024-03-30     AVAXUSDT             overheat $    171    +5.4%       +9$ $    1,155
    2024-03-31      SOLUSDT           fund_spike $    172   +12.6%      +22$ $    1,177
    2024-04-01      LTCUSDT           fund_spike $    176    +1.3%       +2$ $    1,179
    2024-04-01     DOGEUSDT           fund_spike $    176   +28.0%      +49$ $    1,228
    2024-04-02      BNBUSDT             overheat $    177    +0.0%       +0$ $    1,228
    2024-04-01      BTCUSDT             overheat $    176   +13.2%      +23$ $    1,252
    2024-04-07     DOGEUSDT    liq_short_squeeze $    188   -24.0%      -45$ $    1,206
    2024-04-12      SOLUSDT             overheat $    181    +0.0%       +0$ $    1,206
    2024-04-13      BNBUSDT       vol_divergence $    181    +0.0%       +0$ $    1,206
    2024-05-01     ATOMUSDT    liq_short_squeeze $    181    -2.7%       -5$ $    1,202
    2024-04-11      UNIUSDT       div_squeeze_3d $    181   +69.4%     +126$ $    1,327
